time	peer	dir	hex	kind	name	detail
2026-09-14T23:35:27.297	processor:50020	open				
2026-09-14T23:35:30.997	processor:50020	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:35:30.997	processor:50020	tx	90 50 02 FF	reply		
2026-09-14T23:35:34.082	processor:50020	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:35:34.082	processor:50020	tx	90 50 02 FF	reply		
2026-09-14T23:35:34.099	processor:50020	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:35:34.099	processor:50020	tx	90 50 03 FF	reply		
2026-09-14T23:35:34.126	processor:50020	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:35:34.130	processor:50020	tx	90 50 00 FF	reply		
2026-09-14T23:35:34.157	processor:50020	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-14T23:35:34.158	processor:50020	tx	90 50 00 FF	reply		
2026-09-14T23:35:34.190	processor:50020	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:35:34.190	processor:50020	tx	90 50 02 FF	reply		
2026-09-14T23:35:34.222	processor:50020	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:35:34.222	processor:50020	tx	90 50 03 FF	reply		
2026-09-14T23:35:34.256	processor:50020	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:35:34.258	processor:50020	tx	90 50 03 FF	reply		
2026-09-14T23:35:37.429	processor:50020	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:35:37.429	processor:50020	tx	90 50 02 FF	reply		
2026-09-14T23:35:37.446	processor:50020	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:35:37.446	processor:50020	tx	90 50 03 FF	reply		
2026-09-14T23:35:37.453	processor:50020	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:35:37.453	processor:50020	tx	90 50 00 FF	reply		
2026-09-14T23:35:37.464	processor:50020	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-14T23:35:37.464	processor:50020	tx	90 50 00 FF	reply		
2026-09-14T23:35:37.470	processor:50020	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:35:37.470	processor:50020	tx	90 50 02 FF	reply		
2026-09-14T23:35:37.483	processor:50020	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:35:37.483	processor:50020	tx	90 50 03 FF	reply		
2026-09-14T23:35:37.494	processor:50020	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:35:37.494	processor:50020	tx	90 50 03 FF	reply		
2026-09-14T23:35:40.515	processor:50020	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:35:40.515	processor:50020	tx	90 50 02 FF	reply		
2026-09-14T23:35:40.527	processor:50020	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:35:40.528	processor:50020	tx	90 50 03 FF	reply		
2026-09-14T23:35:40.537	processor:50020	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:35:40.537	processor:50020	tx	90 50 00 FF	reply		
