time	peer	dir	hex	kind	name	detail
2026-09-18T11:00:00.774	processor:33730	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T11:00:00.774	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:00:00.789	processor:33730	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T11:00:00.789	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:00:00.799	processor:33730	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T11:00:00.799	processor:33730	tx	90 50 00 FF	reply		
2026-09-18T11:00:00.810	processor:33730	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T11:00:00.811	processor:33730	tx	90 50 03 FF	reply		
2026-09-18T11:00:00.821	processor:33730	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T11:00:00.822	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:00:00.831	processor:33730	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T11:00:00.832	processor:33730	tx	90 50 03 FF	reply		
2026-09-18T11:00:00.847	processor:33730	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T11:00:00.847	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:00:00.856	processor:33730	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T11:00:00.856	processor:33730	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T11:00:00.866	processor:33730	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T11:00:00.866	processor:33730	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T11:00:00.876	processor:33730	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T11:00:00.876	processor:33730	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T11:00:00.885	processor:33730	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T11:00:00.885	processor:33730	tx	90 50 01 01 FF	reply		
2026-09-18T11:00:03.875	processor:33730	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T11:00:03.875	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:00:03.897	processor:33730	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T11:00:03.898	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:00:03.908	processor:33730	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T11:00:03.909	processor:33730	tx	90 50 00 FF	reply		
2026-09-18T11:00:03.917	processor:33730	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T11:00:03.918	processor:33730	tx	90 50 03 FF	reply		
2026-09-18T11:00:03.927	processor:33730	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T11:00:03.928	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:00:03.937	processor:33730	rx	81 09 04 33 FF	inquiry	Backlight	
